pos	3pG>A
1	0.00599901750997061
2	0.00579516512880464
3	0.00566841839439336
4	0.00597908570856752
5	0.00542204352649711
6	0.00535593986283773
7	0.00520287452554043
8	0.0052130940902963
9	0.00554791953017618
10	0.00516731362098878
11	0.00535891802484399
12	0.00523193231031116
13	0.00542787754574955
14	0.00517783934907162
15	0.00536656206182814
16	0.00535532698751396
17	0.00516934714602885
18	0.00517600504243072
19	0.00544443473956969
20	0.00502709789479837
21	0.0050226622186956
22	0.00496379180391357
23	0.00511109444902652
24	0.00509088182238572
25	0.00533666354459361
