# table produced by mapDamage version 2.2.1
# using mapped file ../../output_sorted_filtered_fletcher_aln.bam and ../../paeruginosa.fasta.gz as reference file
# Std: strand of reads
Std	Length	Occurences 
+	94	13619
+	97	10839
+	103	5107
+	89	15748
+	81	10717
+	78	7167
+	87	15571
+	92	14991
+	96	11680
+	107	2815
+	100	7809
+	95	12566
+	99	8691
+	111	1263
+	88	16008
+	84	13801
+	69	740
+	73	2514
+	77	5924
+	80	9636
+	85	14576
+	102	6045
+	75	4083
+	117	350
+	90	15866
+	93	14353
+	91	15338
+	86	15146
+	108	2266
+	82	11794
+	101	6719
+	104	4423
+	74	3269
+	72	2022
+	83	13073
+	109	1924
+	120	157
+	105	3797
+	106	3344
+	115	503
+	79	8413
+	98	9685
+	113	870
+	76	4987
+	112	1082
+	71	1422
+	110	1623
+	125	518
+	114	687
+	70	1070
+	66	220
+	67	355
+	118	261
+	119	231
+	116	414
+	68	490
+	59	8
+	65	138
+	64	87
+	63	46
+	62	41
+	60	2
+	61	15
+	58	3
+	55	1
+	57	2
+	126	3
+	124	3
-	94	13250
-	83	12977
-	91	15289
-	112	1030
-	96	11766
-	108	2283
-	82	11751
-	97	10743
-	77	6036
-	90	15807
-	84	13900
-	103	5294
-	98	9788
-	100	7846
-	101	6940
-	86	15228
-	93	14194
-	79	8316
-	85	14656
-	80	9539
-	92	14916
-	89	15946
-	75	4057
-	105	3854
-	74	3122
-	88	15739
-	102	5962
-	81	10665
-	99	8759
-	95	12488
-	111	1367
-	67	354
-	72	1924
-	87	15420
-	104	4557
-	78	7117
-	110	1560
-	71	1456
-	76	4925
-	73	2546
-	113	904
-	109	2011
-	107	2774
-	64	101
-	69	729
-	125	550
-	106	3291
-	120	166
-	115	544
-	70	1039
-	117	322
-	66	227
-	114	659
-	116	452
-	68	536
-	61	12
-	118	260
-	62	31
-	65	165
-	119	243
-	63	56
-	60	7
-	126	4
-	121	2
-	59	6
-	58	3
-	55	1
