pos	3pG>A
1	0.174494232019991
2	0.110481586402266
3	0.070286780926523
4	0.0495833691263637
5	0.0326103702689286
6	0.0245992591201625
7	0.0202812655235616
8	0.0172113512959738
9	0.015628174737555
10	0.0143266475644699
11	0.0132572521953053
12	0.0132263917385922
13	0.0135428600742121
14	0.0123629418685947
15	0.0129565394817384
16	0.011674883593536
17	0.0121563940583917
18	0.0118046709129512
19	0.0123016550076779
20	0.0108508056936826
21	0.0120179157549234
22	0.0110775427995972
23	0.0119163134330899
24	0.0106632653061224
25	0.0103810954787597
