pos	5pC>T
1	0.172062920726115
2	0.104314329738059
3	0.0677279948072357
4	0.0432654458326202
5	0.0296275928440083
6	0.0211209982612253
7	0.0187546759164796
8	0.0148091473263623
9	0.0131134105112181
10	0.0111987435556011
11	0.0108404779355367
12	0.0112804308309125
13	0.0104681692638183
14	0.0098740967251482
15	0.0107342425735007
16	0.00985347860241128
17	0.00897405216915661
18	0.00897617141591865
19	0.00898539872706851
20	0.00947592671495526
21	0.00909430883252873
22	0.00837759122837074
23	0.0085335613510047
24	0.00905468418821534
25	0.00834656152388755
