"","Position","C.T","G.A"
"1",1,0.914060167157811,0.183487287091288
"2",2,0.850286599839118,0.21487922700418
"3",3,0.750676900286127,0.201712012283766
"4",4,0.612255586073219,0.173885100097469
"5",5,0.45079748774689,0.138415075537125
"6",6,0.298133801110047,0.102050473640617
"7",7,0.180651915042337,0.069726625294827
"8",8,0.102625206602934,0.0456408104631292
"9",9,0.0561089731352158,0.0288104070551062
"10",10,0.0301968567741755,0.0175815061595669
"11",11,0.0163692793534644,0.0103049062018636
"12",12,0.00896056157316128,0.00592623754280613
"13",-12,0.0051231029867011,0.00982330029263941
"14",-11,0.00894016720213308,0.0178403761878028
"15",-10,0.0155257673879406,0.0324398401252347
"16",-9,0.0262989593432887,0.0589644764562728
"17",-8,0.0429684253504611,0.105933299930821
"18",-7,0.0674250619197663,0.184132934509587
"19",-6,0.0999936905225113,0.302029666780968
"20",-5,0.138343625230279,0.454238670425628
"21",-4,0.17757168641119,0.614954812705314
"22",-3,0.217377445604443,0.752040613177397
"23",-2,0.253638434593521,0.850865775717415
"24",-1,0.270278862091046,0.914291231637672
