# table produced by mapDamage version 2.2.1
# using mapped file ../../output_sorted_filtered_jessica_aln.bam and ../../paeruginosa.fasta.gz as reference file
# Std: strand of reads
Std	Length	Occurences 
+	93	586
+	43	1660
+	125	6750
+	58	1331
+	52	1703
+	60	1664
+	53	1635
+	94	601
+	73	945
+	45	1779
+	48	1814
+	49	1739
+	91	575
+	96	542
+	50	1753
+	63	1273
+	77	865
+	55	1603
+	66	1178
+	70	992
+	95	968
+	65	1137
+	47	1851
+	78	894
+	113	354
+	71	977
+	42	1798
+	57	1554
+	36	695
+	76	826
+	56	1594
+	38	1043
+	75	976
+	44	1794
+	115	300
+	64	1291
+	40	1472
+	90	653
+	106	406
+	51	1902
+	62	1295
+	85	711
+	69	1092
+	92	574
+	118	248
+	79	895
+	86	742
+	54	1485
+	67	1077
+	41	1555
+	61	1308
+	103	463
+	46	1696
+	100	415
+	74	1024
+	37	792
+	35	480
+	111	346
+	80	922
+	59	1474
+	39	1287
+	105	375
+	116	303
+	89	577
+	88	685
+	117	256
+	83	852
+	119	234
+	102	397
+	110	300
+	97	566
+	72	982
+	99	492
+	101	772
+	84	792
+	98	445
+	120	236
+	81	839
+	87	674
+	114	278
+	104	505
+	108	381
+	112	390
+	82	817
+	109	373
+	107	415
+	68	1178
+	126	21
+	34	2
+	124	22
+	121	1
+	30	11
+	128	1
+	32	6
+	122	4
+	123	1
+	31	11
+	33	3
+	29	1
-	57	1476
-	55	1496
-	41	1710
-	69	1050
-	125	6948
-	48	1797
-	39	1325
-	51	1975
-	45	1726
-	44	1622
-	49	1736
-	95	1000
-	40	1498
-	70	1011
-	74	954
-	60	1605
-	82	827
-	58	1364
-	68	1202
-	46	1815
-	64	1288
-	66	1135
-	72	1014
-	36	713
-	99	544
-	38	1052
-	98	447
-	67	1070
-	83	827
-	75	974
-	112	380
-	52	1690
-	56	1627
-	53	1667
-	91	614
-	90	642
-	54	1604
-	63	1289
-	61	1355
-	59	1457
-	103	477
-	71	968
-	80	914
-	50	1824
-	97	543
-	76	830
-	100	476
-	85	742
-	42	1773
-	96	543
-	77	877
-	62	1254
-	86	725
-	81	857
-	102	387
-	65	1148
-	84	801
-	79	927
-	94	560
-	47	1769
-	101	708
-	107	425
-	93	595
-	87	652
-	88	694
-	78	913
-	92	540
-	89	628
-	113	347
-	115	364
-	37	790
-	43	1640
-	111	301
-	106	357
-	118	290
-	73	977
-	114	288
-	110	309
-	119	262
-	120	231
-	116	319
-	104	454
-	108	377
-	109	373
-	105	422
-	35	477
-	117	295
-	124	30
-	121	2
-	30	7
-	126	19
-	123	4
-	31	11
-	32	7
-	122	3
-	128	3
-	33	4
-	34	8
-	127	2
