pos	5pC>T
1	0.00499719608698361
2	0.00523178559676096
3	0.00444977751112444
4	0.00483559801899162
5	0.0048733835086698
6	0.00486080424215643
7	0.004518613178314
8	0.00487375024013765
9	0.00468646507229653
10	0.00446071237993597
11	0.00468707723687223
12	0.0046983453471764
13	0.00461543588376433
14	0.00454524662017457
15	0.00468444588923203
16	0.00495831175124062
17	0.00459453250631748
18	0.00464858836063391
19	0.00479299921508375
20	0.00473378719702926
21	0.00479735043126225
22	0.0047958133507777
23	0.00493067801001178
24	0.00453979066290081
25	0.00475204195827557
